assetId,name,state,capacity,type,volumeLossAdjustment,contractId,contractCounterparty,contractType,contractBuyersPercentage,contractShape,contractStrikePrice,contractGreenPrice,contractBlackPrice,contractIndexation,contractHasFloor,contractFloorValue,contractStartDate,contractEndDate,contractTerm
1,PE Waubra,VIC,192,wind,91,1,CETF,black,26,wind,45,,45,3,TRUE,0,4/07/2021,31/12/2028,8
1,PE Waubra,VIC,192,wind,91,2,Sunshot 1,bundled,34,wind,75,25,50,2,TRUE,0,1/07/2022,1/07/2032,10
1,PE Waubra,VIC,192,wind,91,3,Sunshot 2,black,37,wind,46,,46,3,TRUE,0,15/01/2024,31/12/2033,10
2,PE Cathedral Rocks,SA,64,wind,93,1,ZEN,bundled,100,wind,90,40,50,3,TRUE,0,1/07/2024,30/06/2034,10
3,PE Gunning,NSW,47,wind,93,1,Origin,bundled,100,wind,90,25,65,3,TRUE,0,31/01/2012,1/07/2026,14
4,PE Mt. Gellibrand,VIC,100,wind,99,1,VIVA,bundled,42,wind,83,30,53,0,TRUE,0,1/01/2024,31/12/2033,10
4,PE Mt. Gellibrand,VIC,100,wind,99,2,Barwon,bundled,19,wind,58,12,46,0,TRUE,0,1/12/2022,30/11/2032,10
4,PE Mt. Gellibrand,VIC,100,wind,99,3,VRET,green,23,wind,43,43,,3,TRUE,0,1/01/2024,30/06/2028,5
5,PE Mortlake,VIC,158,wind,94,1,VRET,bundled,71,wind,57,25,32,3,TRUE,0,1/01/2024,31/08/2035,12
5,PE Mortlake,VIC,158,wind,94,2,Coles,green,29,wind,9,9,,0,TRUE,0,1/01/2024,31/12/2030,7
6,PE MacIntyre (70% owned),QLD,646,wind,97,1,CleanCo,bundled,62,wind,54,25,29,3,TRUE,0,6/06/2024,15/06/2034,10
6,PE MacIntyre (70% owned),QLD,646,wind,97,2,Stanwell,bundled,23,wind,53,25,28,3,TRUE,0,1/04/2025,1/04/2040,15
7,PE Aldoga,QLD,387,solar,91,1,Stanwell,bundled,100,solar,60,25,35,3,TRUE,0,1/07/2026,1/07/2041,15
